,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,species,16-Jan-21,18-Feb-21,16-Mar-21,14-Apr-21,23-Apr-21,05-May-21,12-May-21,26-May-21,31-May-21,12-Jun-21,22-Jun-21,30-Jun-21,16-Jul-21,02-Aug-21,17-Aug-21,04-Sep-21,20-Sep-21,29-Sep-21,10-Oct-21,25-Oct-21,30-Oct-21,07-Nov-21,14-Nov-21,29-Nov-21,14-Dec,31-Dec,,totals
Drepanidae,buff arches,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,2
Drepanidae,figure of eightly,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Drepanidae,peach blossom,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Endromidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Erebidae,white satin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Erebidae,yellow tail,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Erebidae,buff ermine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Erebidae,white ermine,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Erebidae,garden tiger,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Erebidae,cinnabar,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
Erebidae,common footman ,0,0,0,0,0,0,0,0,0,0,0,0,19,20,3,0,0,0,0,0,0,0,0,0,0,0,,42
Erebidae,snout,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,3
Erebidae,fan foot,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
Geometridae,small dusty wave,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1
Geometridae,single dotted wave,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Geometridae,small fan footed wave,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,2
Geometridae,riband wave,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,8
Geometridae,plain wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Geometridae,common carpet ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,6
Geometridae,wood carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Geometridae,common marbled carpet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,4
Geometridae,garden carpet,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,6
Geometridae,flame carpet,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,4
Geometridae,green carpet,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,4
Geometridae,grey pine carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Geometridae,silver ground carpet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
