,,,,,,,,,,,,,,,,,,
family,species,18-Jan-23,29-Jan-23,10-Feb-23,19-Feb-22,16-Mar-22,30-Mar-23,08-Apr-23,22-Apr-23,07-May-23,20-May-23,05-Jun-23,24-Jun-23,28-Jul-23,08-Oct-23,,totals,
,,,,,,,,,,,,,,,,,,
Drepanidae,buff arches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Drepanidae,figure of eightly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Drepanidae,peach blossom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Endromidae,,,,,,,,,,,,,,,,,0,
Erebidae,straw dot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,white satin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,yellow tail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,pale tussock,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,x
Erebidae,buff ermine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,x
Erebidae,white ermine,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,3,x
Erebidae,muslin moth,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,2,x
Erebidae,ruby tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,garden tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,cinnabar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,red-necked footman,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Erebidae,dingy footman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,common footman ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,4,x
Erebidae,snout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,fan foot,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,2,x
Erebidae,blackneck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Erebidae,beautiful Hook-tip,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Geometridae,small dusty wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,single dotted wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,small fan footed wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,riband wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,plain wave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,common carpet ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,wood carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,red green carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,common marbled carpet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,x
Geometridae,garden carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,flame carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,green carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,mottled grey,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
Geometridae,november moth,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,x
Geometridae,pale november moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,spruce carpet,0,0,0,0,0,0,0,0,0,0,2,0,0,1,,3,x
Geometridae,grey pine carpet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,broken-barred carpet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
Geometridae,silver ground carpet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,x
Geometridae,yellow shell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,shoulder stripe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,barred yellow,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,x
Geometridae,phoenix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,yellow barred brindle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,x
Geometridae,spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,barred straw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,x
Geometridae,double-striped pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,toadflax pug,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
Geometridae,brindled pug,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,x
Geometridae,green pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,foxglove pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,white spotted pug,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Geometridae,freyers pug,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Geometridae,mottled pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,oak tree pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,grey pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
Geometridae,tawny speckled pug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,magpie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,clouded border,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,Brown silver-line,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,brimstone,0,0,0,0,0,0,0,0,0,0,4,2,0,0,,6,x
Geometridae,purple thorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,early thorn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,x
Geometridae,lunar thorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,september thorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,canary shouldered thorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,scalloped oak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,swallow-tailed moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,March moth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,x
Geometridae,pale brindled beauty,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,x
Geometridae,oak beauty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,peppered moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,dotted border,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,waved umber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,mottled beauty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,willow beauty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,mottled umber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,clouded silver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,bordered white,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,light emerald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,large emerald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Geometridae,common emerald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Hepialidae,orange swift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Hepialidae,common swift,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,
Hepialidae,leopard moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Lasiocampidae,december moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Lasiocampidae,drinker,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Limacocidae,,,,,,,,,,,,,,,,,0,
Noctuidae,spectacle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,brurnished brass (f tutti),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,beautiful golden Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,plain golden Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,scarce silver Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,gold spot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,silver Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,knot grass,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,x
Noctuidae,poplar grey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,grey daggers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,x
Noctuidae,anomalous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,copper underwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,mouse moth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,green brindled crescent,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,x
Noctuidae,early grey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,x
Noctuidae,marbled beauty,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,x
Noctuidae,uncertain,0,0,0,0,0,0,0,0,0,0,0,3,3,0,,6,x
Noctuidae,rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,angle shades,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,x
Noctuidae,rosy rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,flounced rustic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Noctuidae,dusky brocade,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,x
Noctuidae,dark arches,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,8,x
