Taxon,Site,Gridref,VC,Recorder,Determiner,Date,Quantity,Method,Sex,Stage,Status,Comment
Alsophila aescularia,1,N/A,62,P,P,30/03/2023,1,NHBS Actinic light trap,,Adult,,
Anorthoa munda,1,N/A,62,P,P,30/03/2023,2,NHBS Actinic light trap,,Adult,,
Colostygia multistrigaria,1,N/A,62,P,P,30/03/2023,1,NHBS Actinic light trap,,Adult,,
Orthosia cerasi,1,N/A,62,P,P,30/03/2023,6,NHBS Actinic light trap,,Adult,,
Orthosia cerasi,1,N/A,62,P,P,08/04/2023,1,NHBS Actinic light trap,,Adult,,
Orthosia cruda,1,N/A,62,P,P,30/03/2023,13,NHBS Actinic light trap,,Adult,,
Orthosia cruda,1,N/A,62,P,P,08/04/2023,1,NHBS Actinic light trap,,Adult,,
Orthosia gothica,1,N/A,62,P,P,30/03/2023,14,NHBS Actinic light trap,,Adult,,
Orthosia gothica,1,N/A,62,P,P,08/04/2023,4,NHBS Actinic light trap,,Adult,,
Orthosia incerta,1,N/A,62,P,P,30/03/2023,6,NHBS Actinic light trap,,Adult,,
Orthosia incerta,1,N/A,62,P,P,08/04/2023,1,NHBS Actinic light trap,,Adult,,
Phigalia pilosaria,1,N/A,62,P,P,10/02/2023,1,NHBS Actinic light trap,,Adult,,
Selenia dentaria,1,N/A,62,P,P,30/03/2023,1,NHBS Actinic light trap,,Adult,,
Xylocampa areola,1,N/A,62,P,P,08/04/2023,1,NHBS Actinic light trap,,Adult,,
Cerastis rubricosa,1,N/A,62,P,P,07/05/2023,1,NHBS Actinic light trap,,Adult,,
Orthosia gothica,1,N/A,62,P,P,07/05/2023,1,NHBS Actinic light trap,,Adult,,
Acasis viretata,1,N/A,62,P,P,07/05/2023,1,NHBS Actinic light trap,,Adult,,
Diaphora mendica,1,N/A,62,P,P,07/05/2023,1,NHBS Actinic light trap,,Adult,,
Orthosia gothica,1,N/A,62,P,P,22/04/2023,2,NHBS Actinic light trap,,Adult,,
Orthosia cerasi,1,N/A,62,P,P,22/04/2023,2,NHBS Actinic light trap,,Adult,,
Spilosoma lubricipeda,1,N/A,62,P,P,23/05/2023,1,NHBS Actinic light trap,,Adult,,
Diaphora mendica,1,N/A,62,P,P,24/05/2023,1,NHBS Actinic light trap,,Adult,,
Laothoe populi,1,N/A,62,P,P,25/05/2023,1,NHBS Actinic light trap,,Adult,,
Opisthograptis luteolata,1,N/A,62,P,P,05/06/2023,4,NHBS Actinic light trap,,Adult,,
Agrotis exclamationis,1,N/A,62,P,P,05/06/2023,3,NHBS Actinic light trap,,Adult,,
Spilosoma lubricipeda,1,N/A,62,P,P,05/06/2023,2,NHBS Actinic light trap,,Adult,,
Calliteara pudibunda,1,N/A,62,P,P,05/06/2023,2,NHBS Actinic light trap,,Adult,,
Thera britannica,1,N/A,62,P,P,05/06/2023,2,NHBS Actinic light trap,,Adult,,
Lacanobia thalassina,1,N/A,62,P,P,05/06/2023,2,NHBS Actinic light trap,,Adult,,
Agrotis puta,1,N/A,62,P,P,05/06/2023,2,NHBS Actinic light trap,,Adult,,
Spilosoma lutea,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Electrophaes corylata,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Xanthorhoe montanata,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Eupithecia abbreviata,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Korscheltellus lupulina,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Acronicta rumicis,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Apamea remissa,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Axylia putris,1,N/A,62,P,P,05/06/2023,1,NHBS Actinic light trap,,Adult,,
Hoplodrina octogenaria,1,N/A,62,P,P,24/06/2023,3,NHBS Actinic light trap,,Adult,,
Opisthograptis luteolata,1,N/A,62,P,P,24/06/2023,2,NHBS Actinic light trap,,Adult,,
